Station,Lat,Long
10th & Red River,30.27022,-97.735809
10th/Red River,30.27022,-97.735809
11th & Salina,30.26639,-97.721451
11th & San Jacinto,30.27206,-97.73866
11th/Congress @ The Texas Capitol,30.27267,-97.74083
11th/Salina,30.26639,-97.721451
11th/Salina ,30.26639,-97.721451
11th/San Jacinto,30.27206,-97.73866
12th/San Jacinto @ State Capitol Visitors Garage,30.27329,-97.73821
13th & San Antonio,30.27631,-97.74476
13th/San Antonio,30.27631,-97.74476
13th/Trinity,30.27406,-97.73672
16th/San Antonio,30.27915,-97.74371
17th & Guadalupe,30.27972,-97.74232
17th/Guadalupe,30.27972,-97.74232
21st & Speedway @PCL,30.28347,-97.73743
21st & University,30.28365,-97.73955
21st/Guadalupe,30.28382,-97.74196
21st/Speedway @ PCL,30.28347,-97.73743
21st/University,30.28365,-97.73955
22.5/Rio Grande,30.28271,-97.74515
22nd & Pearl,30.28533,-97.74652
22nd/Pearl,30.28533,-97.74652
23rd & Rio Grande,30.28668,-97.7448
23rd & San Jacinto @ DKR Stadium,30.28531,-97.7337
23rd/Rio Grande,30.28668,-97.7448
23rd/San Gabriel,30.2872,-97.74795
23rd/San Jacinto @ DKR Stadium,30.28531,-97.7337
26th/Nueces,30.27947,-97.74479
28th/Rio Grande,30.29058,-97.7429
2nd & Congress,30.264299,-97.744202
2nd/Congress,30.264299,-97.744202
2nd/Lavaca @ City Hall,30.26498,-97.7466
3rd & West,30.26708,-97.75014
3rd/Nueces,30.26686,-97.74945
3rd/Trinity @ The Convention Center,30.41852,-97.66635
3rd/West,30.26708,-97.75014
4th & Congress,30.26619,-97.743477
4th/Congress,30.26619,-97.743477
4th/Guadalupe @ Republic Square,30.26719,-97.74695
4th/Neches @ MetroRail Downtown,30.26494,-97.73898
4th/Sabine,30.26435,-97.7368
5th & Bowie,30.26976,-97.75316
5th & Campbell,30.27486,-97.76484
5th & San Marcos,30.2642,-97.73294
5th/Bowie,30.26976,-97.75316
5th/Campbell,30.27486,-97.76484
5th/Guadalupe @ Republic Square,30.26811,-97.74663
6th & Chalmers,30.26235,-97.72452
6th & Congress,30.26805,-97.7428
6th & Navasota St.,30.26372,-97.7285
6th/Brazos,30.26768,-97.74147
6th/Chalmers,30.26235,-97.72452
6th/Chalmers ,30.26235,-97.72452
6th/Congress,30.26805,-97.7428
6th/Lavaca,30.26873,-97.74521
6th/Trinity,30.26709,-97.73933
6th/West,30.26933,-97.74736
8th & Congress,30.26993,-97.74212
8th & Guadalupe,30.27088,-97.74559
8th & Lavaca,30.27059,-97.74454
8th/Congress,30.26993,-97.74212
8th/Lavaca,30.27059,-97.74454
8th/Red River,30.26043,-97.73935
8th/San Jacinto,30.26924,-97.73968
9th/Henderson,30.27363,-97.75168
ACC - Rio Grande & 12th,30.27584,-97.74733
ACC - West & 12th,30.27691,-97.75156
ACC - West & 12th Street,30.27691,-97.75156
Barton Springs & Riverside,30.25866,-97.74848
Barton Springs @ Kinney Ave,30.26204,-97.76143
Barton Springs Pool,30.26256,-97.76215
Barton Springs/Bouldin @ Palmer Auditorium,30.25915,-97.75219
Barton Springs/Kinney,30.26204,-97.76143
Boardwalk West,30.24329,-97.72277
Brazos & 6th,30.26768,-97.74147
Bullock Museum @ Congress & MLK,30.28063,-97.73813
Capital Metro HQ - East 5th at Broadway,30.25627,-97.71013
Capitol Station / Congress & 11th,30.27267,-97.74083
Cesar Chavez/Congress,30.2634,-97.74454
City Hall / Lavaca & 2nd,30.26498,-97.7466
Congress & Cesar Chavez,30.2634,-97.74454
Convention Center / 3rd & Trinity,30.41852,-97.66635
Convention Center / 4th St. @ MetroRail,30.23949,-97.76535
Convention Center/ 3rd & Trinity,30.41852,-97.66635
Customer Service,30.21554,-97.66418
Davis at Rainey Street,30.26011,-97.73829
Dean Keeton & Speedway,30.28947,-97.73681
Dean Keeton & Whitis,30.28978,-97.74026
Dean Keeton/Speedway,30.28947,-97.73681
Dean Keeton/Whitis,30.28978,-97.74026
East 11th St. & San Marcos,30.26979,-97.7308
East 11th St. at Victory Grill,30.26871,-97.72795
East 11th Street at Victory Grill,30.26871,-97.72795
East 11th/San Marcos,30.26979,-97.7308
East 11th/Victory Grill,30.26871,-97.72795
East 2nd & Pedernales,30.25527,-97.71635
East 2nd/Pedernales,30.25527,-97.71635
East 4th & Chicon,30.2598,-97.72341
East 4th/Chicon,30.2598,-97.72341
East 5th/Broadway @ Capital Metro HQ,30.25955,-97.71975
East 5th/Shady @ Eastside Bus Plaza,30.25217,-97.69828
East 5th/Shady Ln,30.25217,-97.69828
East 6th & Pedernales St.,30.25893,-97.71469
East 6th at Robert Martinez,30.2603,-97.71864
East 6th/Medina,30.26476,-97.73152
East 6th/Pedernales,30.25893,-97.71469
East 6th/Robert T. Martinez,30.2603,-97.71864
East 7th & Pleasant Valley,30.2601,-97.70949
Eeyore's 2017,30.28125,-97.75252
Eeyore's 2018,30.28125,-97.75252
Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,30.26721,-97.75507
Guadalupe & 21st,30.28382,-97.74196
Guadalupe & 6th,30.26902,-97.74629
Guadalupe/West Mall @ University Co-op,30.2979,-97.74121
Henderson & 9th,30.27363,-97.75168
Hollow Creek & Barton Hills,30.26024,-97.77379
Hollow Creek/Barton Hills,30.26024,-97.77379
Lake Austin & Enfield,30.29608,-97.78381
Lake Austin Blvd @ Deep Eddy,30.27797,-97.77236
Lake Austin Blvd/Deep Eddy,30.27797,-97.77236
Lake Austin/Enfield,30.29608,-97.78381
Lakeshore & Pleasant Valley,30.2425,-97.71722
Lakeshore @ Austin Hostel,30.30093,-97.78772
Lakeshore/Austin Hostel,30.30093,-97.78772
Lakeshore/Pleasant Valley,30.2425,-97.71722
Lavaca & 6th,30.26873,-97.74521
Long Center @ South 1st & Riverside,30.25976,-97.74932
Main Office,30.405917,-97.597757
MapJam at French Legation,30.28615,-97.7197
MapJam at Hops & Grain Brewery,30.25816,-97.71236
MapJam at Pan Am Park,30.27489,-97.63242
MapJam at Scoot Inn,30.27489,-97.63242
Marketing Event,,
Medina & East 6th,30.26476,-97.73152
MoPac Pedestrian Bridge @ Veterans Drive,30.27646,-97.7719
Mobile Station,,
Mobile Station @ Bike Fest,,
Mobile Station @ Boardwalk Opening Ceremony,30.24329,-97.72277
Mobile Station @ Unplugged,30.20652,-97.7736
Nash Hernandez @ RBJ South,30.25094,-97.73166
Nash Hernandez/East @ RBJ South,30.25094,-97.73166
Nueces & 26th,30.29058,-97.7429
Nueces & 3rd,30.26686,-97.74945
Nueces @ 3rd,30.26686,-97.74945
