Membership Type,LongTrip,Lat,Long,Year,Month,Temp,TripCount,Month_Jan,Month_Feb,Month_Mar,Month_Apr,Month_May,Month_Jun,Month_Jul,Month_Aug,Month_Sep,Month_Oct,Month_Nov,Month_Dec
Local365,1,30.264341,-97.740441,2018,3,64.7,29,0,0,1,0,0,0,0,0,0,0,0,0
24 Hour Walk Up Pass,1,30.26043,-97.73935,2019,8,87.2,5,0,0,0,0,0,0,0,1,0,0,0,0
Local30,1,30.25578,-97.73991,2017,12,50.4,4,0,0,0,0,0,0,0,0,0,0,0,1
Local30,0,30.26933,-97.74736,2015,6,79.1,10,0,0,0,0,0,1,0,0,0,0,0,0
Explorer,1,30.26836,-97.73651,2016,3,63.5,5,0,0,1,0,0,0,0,0,0,0,0,0
Explorer,0,30.28382,-97.74196,2017,11,63.9,1,0,0,0,0,0,0,0,0,0,0,1,0
Walk Up,0,30.26204,-97.76143,2018,5,79.2,37,0,0,0,0,1,0,0,0,0,0,0,0
Local30,0,30.26805,-97.7428,2018,4,64.8,27,0,0,0,1,0,0,0,0,0,0,0,0
Local31,0,30.27486,-97.76484,2021,6,80.3,24,0,0,0,0,0,1,0,0,0,0,0,0
Local30,1,30.26836,-97.73651,2017,6,83.4,4,0,0,0,0,0,1,0,0,0,0,0,0
Weekender,1,30.26256,-97.76215,2017,3,67.4,50,0,0,1,0,0,0,0,0,0,0,0,0
Local365,0,30.25527,-97.71635,2019,11,56.8,1,0,0,0,0,0,0,0,0,0,0,1,0
Weekender,1,30.27972,-97.74232,2018,3,64.7,16,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,0,30.2642,-97.73294,2017,2,63.7,20,0,1,0,0,0,0,0,0,0,0,0,0
Local365,1,30.26458,-97.75716,2020,9,77.0,114,0,0,0,0,0,0,0,0,1,0,0,0
24 Hour Walk Up Pass,1,30.28382,-97.74196,2020,5,76.1,10,0,0,0,0,1,0,0,0,0,0,0,0
Local365,1,30.25578,-97.73991,2017,1,55.4,23,1,0,0,0,0,0,0,0,0,0,0,0
Local31,1,30.26235,-97.72452,2020,11,63.2,2,0,0,0,0,0,0,0,0,0,0,1,0
Weekender,0,30.25578,-97.73991,2018,7,86.2,7,0,0,0,0,0,0,1,0,0,0,0,0
Local30,1,30.26458,-97.75716,2019,9,85.3,6,0,0,0,0,0,0,0,0,1,0,0,0
24 Hour Walk Up Pass,1,30.2425,-97.71722,2020,10,69.6,65,0,0,0,0,0,0,0,0,0,1,0,0
Local30,0,30.26686,-97.74945,2020,2,52.5,2,0,1,0,0,0,0,0,0,0,0,0,0
24-Hour Kiosk (Austin B-cycle),0,30.23949,-97.76535,2014,8,85.4,84,0,0,0,0,0,0,0,1,0,0,0,0
Local365,0,30.26708,-97.75014,2018,9,80.4,99,0,0,0,0,0,0,0,0,1,0,0,0
Weekender,0,30.25218,-97.7487,2016,9,80.5,9,0,0,0,0,0,0,0,0,1,0,0,0
Local31,0,30.28365,-97.73955,2021,3,62.4,5,0,0,1,0,0,0,0,0,0,0,0,0
Local30,1,30.26458,-97.75716,2016,3,63.5,26,0,0,1,0,0,0,0,0,0,0,0,0
Walk Up,1,30.26805,-97.7428,2018,5,79.2,124,0,0,0,0,1,0,0,0,0,0,0,0
Local30,1,30.26768,-97.74147,2019,9,85.3,1,0,0,0,0,0,0,0,0,1,0,0,0
